Date,Price (₹/kg),News,Impact (%)
2015-01-05,15.07,"Favorable market conditions in Haryana have led to significant improvements in wheat production. Farmers are reporting higher yields due to better rainfall and improved irrigation systems. The government has announced subsidies for fertilizers and seeds, further boosting agricultural output. Experts predict that these developments will stabilize wheat prices and reduce costs for consumers. Farmers are adapting to changing conditions by adopting new technologies and practices. Stakeholders are urging the government to invest more in infrastructure and research.",-1.14
2015-01-12,14.35,"Favorable market conditions in Uttar Pradesh have led to significant improvements in wheat production. Farmers are reporting higher yields due to better rainfall and improved irrigation systems. The government has announced subsidies for fertilizers and seeds, further boosting agricultural output. Experts predict that these developments will stabilize wheat prices and reduce costs for consumers. Farmers are adapting to changing conditions by adopting new technologies and practices. Stakeholders are urging the government to invest more in infrastructure and research.",-2.93
2015-01-19,15.42,"Adverse market conditions in Punjab have caused significant challenges for wheat farmers. Unseasonal rains and pest infestations have reduced crop yields, leading to supply shortages. The government is considering importing wheat to address the shortfall and control rising prices. Analysts warn that food inflation may increase if these issues persist. Farmers are adapting to changing conditions by adopting new technologies and practices. Stakeholders are urging the government to invest more in infrastructure and research.",2.36
2015-01-26,14.87,"Favorable market conditions in Haryana have led to significant improvements in wheat production. Farmers are reporting higher yields due to better rainfall and improved irrigation systems. The government has announced subsidies for fertilizers and seeds, further boosting agricultural output. Experts predict that these developments will stabilize wheat prices and reduce costs for consumers. Farmers are adapting to changing conditions by adopting new technologies and practices. Stakeholders are urging the government to invest more in infrastructure and research.",-2.9
2015-02-02,15.93,"The wheat market in Haryana is experiencing mixed outcomes due to fluctuating global conditions. While some areas benefited from favorable weather patterns, others faced challenges such as droughts or floods. The government has intervened by releasing stockpiles to stabilize prices, but uncertainty remains. Farmers are adapting to changing conditions by adopting new technologies and practices. Stakeholders are urging the government to invest more in infrastructure and research.",2.83
2015-02-09,15.42,"The wheat market in Haryana is experiencing mixed outcomes due to fluctuating global conditions. While some areas benefited from favorable weather patterns, others faced challenges such as droughts or floods. The government has intervened by releasing stockpiles to stabilize prices, but uncertainty remains. Farmers are adapting to changing conditions by adopting new technologies and practices. Stakeholders are urging the government to invest more in infrastructure and research.",2.11
2015-02-16,15.49,"Favorable weather conditions in Rajasthan have led to significant improvements in wheat production. Farmers are reporting higher yields due to better rainfall and improved irrigation systems. The government has announced subsidies for fertilizers and seeds, further boosting agricultural output. Experts predict that these developments will stabilize wheat prices and reduce costs for consumers. Farmers are adapting to changing conditions by adopting new technologies and practices. Stakeholders are urging the government to invest more in infrastructure and research.",-1.45
2015-02-23,15.58,"In Punjab, the wheat market has seen mixed results due to varying weather conditions. Improved farming practices have boosted yields in some areas, but unexpected weather events have disrupted supply chains. Experts suggest that long-term solutions are needed to address these recurring issues. Farmers are adapting to changing conditions by adopting new technologies and practices. Stakeholders are urging the government to invest more in infrastructure and research.",-1.33
2015-03-02,14.82,"Favorable global conditions in Punjab have led to significant improvements in wheat production. Farmers are reporting higher yields due to better rainfall and improved irrigation systems. The government has announced subsidies for fertilizers and seeds, further boosting agricultural output. Experts predict that these developments will stabilize wheat prices and reduce costs for consumers. Farmers are adapting to changing conditions by adopting new technologies and practices. Stakeholders are urging the government to invest more in infrastructure and research.",-4.2
2015-03-09,16.01,"The wheat market in Uttar Pradesh is experiencing mixed outcomes due to fluctuating weather conditions. While some areas benefited from favorable weather patterns, others faced challenges such as droughts or floods. The government has intervened by releasing stockpiles to stabilize prices, but uncertainty remains. Farmers are adapting to changing conditions by adopting new technologies and practices. Stakeholders are urging the government to invest more in infrastructure and research.",1.2
